district,City,Barangay,brgy_area_sqm,flood5_sqm_final,flood25_sqm_final,flood100_sqm_final,Population_2020
Metropolitan Manila First District,Manila,Barangay 1,49547.49,8264.85,21069.57,24194.32,2995
Metropolitan Manila First District,Manila,Barangay 2,37885.97,5076.65,16510.82,27996.49,1887
Metropolitan Manila First District,Manila,Barangay 3,38940.56,27962.09,37710.28,38350.78,1341
Metropolitan Manila First District,Manila,Barangay 4,40193.69,9028.71,26647.36,37927.32,1691
Metropolitan Manila First District,Manila,Barangay 5,24741.85,6958.36,17729.88,23759.84,1288
Metropolitan Manila First District,Manila,Barangay 6,41515.27,32870.69,39915.27,41041.74,771
Metropolitan Manila First District,Manila,Barangay 7,44040.72,20195.06,38556.59,42990.22,1560
Metropolitan Manila First District,Manila,Barangay 8,36398.19,17894.78,29467.84,30433.46,147
Metropolitan Manila First District,Manila,Barangay 9,12766.72,7660.55,12525.63,12567.18,447
Metropolitan Manila First District,Manila,Barangay 10,6057.59,5544.13,5999.13,6033.96,160
Metropolitan Manila First District,Manila,Barangay 11,13361.45,4926.13,10852.22,7714.53,2758
Metropolitan Manila First District,Manila,Barangay 12,20566.1,3337.61,7607.44,6379.39,2137
Metropolitan Manila First District,Manila,Barangay 13,12419.71,8241.27,12299.26,9904,2371
Metropolitan Manila First District,Manila,Barangay 14,14470.7,9151.68,14070.7,10514.14,2070
Metropolitan Manila First District,Manila,Barangay 15,6985.18,729.59,2522.21,1644.1,1119
Metropolitan Manila First District,Manila,Barangay 16,10593.91,4014.88,6822.84,6356.17,1477
Metropolitan Manila First District,Manila,Barangay 17,9083.65,1789.35,2663.03,2124.32,1309
Metropolitan Manila First District,Manila,Barangay 18,23254.76,4419.86,6956.85,6974.85,1622
Metropolitan Manila First District,Manila,Barangay 19,18784.18,1124.55,3271.26,4659.05,2275
Metropolitan Manila First District,Manila,Barangay 20,1372542.32,237854.05,324304.43,342564.35,45772
Metropolitan Manila First District,Manila,Barangay 25,22004.22,5591.18,12702.56,7580.1,1985
Metropolitan Manila First District,Manila,Barangay 26,19616.64,4401.82,8511.92,7199.72,2790
Metropolitan Manila First District,Manila,Barangay 28,22585.77,9168.22,12833.93,12491.25,2650
Metropolitan Manila First District,Manila,Barangay 29,72932.47,8214.86,13183.51,11815.51,4398
Metropolitan Manila First District,Manila,Barangay 30,11794.25,1597.8,1922.79,1143.23,2980
Metropolitan Manila First District,Manila,Barangay 31,17506.6,1613.97,3377.25,1818.88,2540
Metropolitan Manila First District,Manila,Barangay 32,16070.57,3431.43,6912.03,6879,1890
Metropolitan Manila First District,Manila,Barangay 33,23880.56,1634.75,5835.2,7832.47,2760
Metropolitan Manila First District,Manila,Barangay 34,11563.65,689.83,1588.49,2808.41,1650
Metropolitan Manila First District,Manila,Barangay 35,15319.71,1557.13,2841.93,4011.71,1980
Metropolitan Manila First District,Manila,Barangay 36,11737.51,0,1895.3,2505.79,2120
Metropolitan Manila First District,Manila,Barangay 37,9995.89,5769.27,7364.79,8961.14,2340
Metropolitan Manila First District,Manila,Barangay 38,13942.73,0,175.22,590.49,2870
Metropolitan Manila First District,Manila,Barangay 39,103810.6,6866.51,8721.4,11109.88,1799
Metropolitan Manila First District,Manila,Barangay 41,21122.18,15231.97,17211.62,16507.36,3450
Metropolitan Manila First District,Manila,Barangay 42,17600.88,9309.14,12946.53,12107.46,2120
Metropolitan Manila First District,Manila,Barangay 43,12922.99,5105.14,6995.19,8312.54,1890
Metropolitan Manila First District,Manila,Barangay 44,52155.51,6896.4,8515.16,8147.79,2340
Metropolitan Manila First District,Manila,Barangay 45,17654.38,825.26,4450.35,7461.39,2264
Metropolitan Manila First District,Manila,Barangay 46,16348.34,4532.26,8426.35,8252.04,2088
Metropolitan Manila First District,Manila,Barangay 47,33261.72,5210.93,16238.18,22022.39,1123
Metropolitan Manila First District,Manila,Barangay 48,16896.73,12886.12,16894.64,16494.09,4070
Metropolitan Manila First District,Manila,Barangay 49,19847.56,14467.93,19847.1,19191.82,2119
Metropolitan Manila First District,Manila,Barangay 50,35383.04,30237.41,35383.04,35383.04,4217
Metropolitan Manila First District,Manila,Barangay 51,40236.77,33666.22,40036.77,39494.7,2580
Metropolitan Manila First District,Manila,Barangay 52,26390.23,23949.43,26390.23,26290.23,2732
Metropolitan Manila First District,Manila,Barangay 53,24537.82,22037.6,24537.82,24537.82,2916
Metropolitan Manila First District,Manila,Barangay 54,27060.48,25960.48,27060.48,27060.48,1648
Metropolitan Manila First District,Manila,Barangay 55,36490.61,29638.04,34029.01,35292.98,2492
Metropolitan Manila First District,Manila,Barangay 56,53006.2,45993.29,52938.64,52570.93,3457
Metropolitan Manila First District,Manila,Barangay 57,27531,14955.11,22931,27195.25,882
Metropolitan Manila First District,Manila,Barangay 58,29865.98,26780.69,29865.98,29865.98,3719
Metropolitan Manila First District,Manila,Barangay 59,22568.24,15217.75,22368.24,22568.24,1112
Metropolitan Manila First District,Manila,Barangay 60,13617.31,13117.31,13617.31,13617.31,1890
Metropolitan Manila First District,Manila,Barangay 61,43634.66,39098.8,42961.4,43399.06,1650
Metropolitan Manila First District,Manila,Barangay 62,20672.3,14677.32,20472.3,20572.3,2120
Metropolitan Manila First District,Manila,Barangay 63,18663.57,16963.48,18563.57,18663.57,1780
Metropolitan Manila First District,Manila,Barangay 64,15426.75,10899.83,15426.75,15426.75,2340
Metropolitan Manila First District,Manila,Barangay 65,19391.5,14877.79,19391.5,19391.5,1560
Metropolitan Manila First District,Manila,Barangay 66,26446.88,5168.03,12505.11,18089.88,2890
Metropolitan Manila First District,Manila,Barangay 67,20074.61,4694.14,14188.01,19587.56,1450
Metropolitan Manila First District,Manila,Barangay 68,7307.94,1084.69,3473.69,5701.89,1780
Metropolitan Manila First District,Manila,Barangay 69,23625.74,3800,6176.8,11324.33,2120
Metropolitan Manila First District,Manila,Barangay 70,12732.19,100,100,5739.4,2670
Metropolitan Manila First District,Manila,Barangay 71,39840.15,8658.98,28759.16,36621.24,3450
Metropolitan Manila First District,Manila,Barangay 72,26753.16,6792.87,8862.52,5959.03,2890
Metropolitan Manila First District,Manila,Barangay 73,10383.71,1873.33,2107.86,2318.75,1560
Metropolitan Manila First District,Manila,Barangay 74,20036.55,14231.74,20036.55,20036.55,1780
Metropolitan Manila First District,Manila,Barangay 75,25624.72,17174.24,24871.1,25498.23,1890
Metropolitan Manila First District,Manila,Barangay 76,18288.59,10274.11,18223.27,18115.08,1650
Metropolitan Manila First District,Manila,Barangay 77,12815.55,4032.65,11662.72,12815.55,1372
Metropolitan Manila First District,Manila,Barangay 78,14718.24,14259.64,14718.24,14718.24,1221
Metropolitan Manila First District,Manila,Barangay 79,7835.2,4837.86,7680.93,7835.2,1520
Metropolitan Manila First District,Manila,Barangay 80,11686.74,5222.76,8486.74,11586.74,2553
Metropolitan Manila First District,Manila,Barangay 81,17715.15,9743.33,17086.92,17117.6,1815
Metropolitan Manila First District,Manila,Barangay 82,22510.42,9424.29,20910.42,22207.96,2642
Metropolitan Manila First District,Manila,Barangay 83,14027.89,4903.3,13334.58,14027.89,1473
Metropolitan Manila First District,Manila,Barangay 84,14568.45,2073.01,12961.76,14368.45,1141
Metropolitan Manila First District,Manila,Barangay 85,25400.76,10351.09,16767.21,23762.64,4032
Metropolitan Manila First District,Manila,Barangay 86,20757.43,6351.83,19544.79,19957.43,1415
Metropolitan Manila First District,Manila,Barangay 87,20727.23,4613.95,19739.87,20327.23,1633
Metropolitan Manila First District,Manila,Barangay 88,9838.99,7026.07,9141.03,9838.99,1096
Metropolitan Manila First District,Manila,Barangay 89,12413.25,7636.04,12413.25,12413.25,720
Metropolitan Manila First District,Manila,Barangay 90,9981.34,5304.07,9979.3,9981.34,630
Metropolitan Manila First District,Manila,Barangay 91,56575.09,18283.15,47156.51,53551.86,4552
Metropolitan Manila First District,Manila,Barangay 92,26574.05,9280.43,25834.69,26232.87,2639
Metropolitan Manila First District,Manila,Barangay 93,43862.63,22361.99,32716.62,33084.09,3960
Metropolitan Manila First District,Manila,Barangay 94,97929.38,36212.3,55976.21,76990.56,2178
Metropolitan Manila First District,Manila,Barangay 95,33345.29,9775.48,18837.99,22312.41,5543
Metropolitan Manila First District,Manila,Barangay 96,88678.52,42825.91,50700.44,49638.39,2100
Metropolitan Manila First District,Manila,Barangay 97,30420.17,22464.51,29995.13,29920.17,3634
Metropolitan Manila First District,Manila,Barangay 98,14084.33,12464.99,13823.99,13756.69,1899
Metropolitan Manila First District,Manila,Barangay 99,12936.92,10690.54,11303.78,10390.55,6310
Metropolitan Manila First District,Manila,Barangay 100,29349.5,8985.71,14348.69,15223.08,2222
Metropolitan Manila First District,Manila,Barangay 101,103997.37,37525.24,57379,61606.84,15358
Metropolitan Manila First District,Manila,Barangay 102,23899.68,4506.43,14200.18,20019.92,4157
Metropolitan Manila First District,Manila,Barangay 103,32949.79,9041.84,23223.05,25337.29,4772
Metropolitan Manila First District,Manila,Barangay 104,38937.84,4601.99,10317.01,17829.42,5741
Metropolitan Manila First District,Manila,Barangay 105,506875.73,80045.88,108942.13,130714.64,24971
Metropolitan Manila First District,Manila,Barangay 106,74642.56,24856.79,41851.65,39460.3,2513
Metropolitan Manila First District,Manila,Barangay 107,157325.82,22874.96,32646.9,38595.51,7003
Metropolitan Manila First District,Manila,Barangay 108,32049.21,195.94,2133.68,3444.3,5391
Metropolitan Manila First District,Manila,Barangay 109,26787.34,80.86,434.88,5059.95,3254
Metropolitan Manila First District,Manila,Barangay 110,178172.87,57507.55,75327.43,88720.56,2677
Metropolitan Manila First District,Manila,Barangay 111,14528.54,1590.84,5220.77,5711.81,2661
Metropolitan Manila First District,Manila,Barangay 112,27445.58,12375.78,17431.49,18608.35,5593
Metropolitan Manila First District,Manila,Barangay 116,42310.69,21367.25,33884.85,36424.2,5943
Metropolitan Manila First District,Manila,Barangay 117,20995.05,5109.45,12030.53,18414.52,4160
Metropolitan Manila First District,Manila,Barangay 118,141955.91,10291.53,20294.24,23236.11,10840
Metropolitan Manila First District,Manila,Barangay 119,18636.16,3753.77,7033.63,7831.97,2345
Metropolitan Manila First District,Manila,Barangay 120,16996.94,0,400,962.53,3873
Metropolitan Manila First District,Manila,Barangay 121,28003.34,2182.31,4177.88,6415.29,4511
Metropolitan Manila First District,Manila,Barangay 122,23231.61,8168.86,15055.35,21333.64,3824
